product_id,prod_desc,world_group,division_code,division_desc
179,Self Care Dd,"Celebration, Study & Beauty",be,Beauty & Care
703,Audio / Video,"Celebration, Study & Beauty",cb,Celebration
144,Pens / Markers,"Celebration, Study & Beauty",st,Study
73,Cushions,Home & Seasonal,li,Living
333,Baby Underwear,baby/kids/men,ba,Baby
370,Summer Toys,"Celebration, Study & Beauty",to,Toys
193,Girls' Underwear,baby/kids/men,ki,Kids
701,Checkout Display Har,Home & Seasonal,es,Essentials
14,Haberdashery,Home & Seasonal,li,Living
600,Cooking & Dining,"Celebration, Study & Beauty",cb,Celebration
77,Curtain Samples,Home & Seasonal,li,Living
162,Ladies Scarves / Hat,women,wo,Women
304,Small Furniture,Home & Seasonal,li,Living
555,Internet,Miscellaneous,dv,Miscellaneous
213,Millenials,women,wo,Women
214,Lingerie Set Bras,women,wo,Women
418,Garden Articles,Home & Seasonal,se,Seasonal
221,Men'S Swimming Fashi,baby/kids/men,me,Men
950,Gift Cards,Miscellaneous,dv,Miscellaneous
990,Various,newservices&innovate,ns,Newservices&Innovate
141,Stationery,"Celebration, Study & Beauty",st,Study
704,Elec. Appliances,Home & Seasonal,es,Essentials
259,Sinterklaas,Home & Seasonal,se,Seasonal
143,Cards,"Celebration, Study & Beauty",cb,Celebration
460,Jongeren Make-Up,"Celebration, Study & Beauty",be,Beauty & Care
332,Baby Jackets / Acces,baby/kids/men,ba,Baby
58,Naturally Hema,Home & Seasonal,bb,Bed/Bath
700,Euroshop,Home & Seasonal,es,Essentials
348,Shoes / Boots,women,wo,Women
257,Christmas Wrapping,Home & Seasonal,se,Seasonal
121,Watch Straps,Home & Seasonal,es,Essentials
52,Bathroom Textiles,Home & Seasonal,bb,Bed/Bath
888,Kassa Tasjes,Miscellaneous,dv,Miscellaneous
216,Lingerie Set Briefs,women,wo,Women
56,Matrasses,Home & Seasonal,bb,Bed/Bath
65,Rest / Café Raw Mat,food,hr,Café/Restaurant
810,Tools,Home & Seasonal,es,Essentials
101,Rest / Café Consumer,food,hr,Café/Restaurant
