store_id,store_name,store_size,zipcode,coaststore,trafficstore,PLAATS,GEMEENTE,PROVINCIE,regio,STN
120,Stadskanaal,B ,9501,0,0,Stadskanaal,Stadskanaal,Groningen,north,286
123,Kerkrade,B ,6461,0,0,Kerkrade,Kerkrade,Limburg,south,380
143,Zandvoort,B ,2042,1,0,Zandvoort,Zandvoort,Noord-Holland,north,210
782,Enschede,C ,7511,0,0,Enschede,Enschede,Overijssel,north,290
11,A'dam-Kinkerstraat,C ,1053,0,0,Amsterdam,Amsterdam,Noord-Holland,north,240
3,R'dam-Centrum,D ,3011,0,0,Rotterdam,Rotterdam,Zuid-Holland,middle,344
119,Zevenaar,B ,6901,0,0,Zevenaar,Zevenaar,Gelderland,south,275
508,Zwolle,D ,8011,0,0,Zwolle,Zwolle,Overijssel,north,278
293,Sliedrecht,B ,3361,0,0,Sliedrecht,Sliedrecht,Zuid-Holland,middle,356
647,Heerlen,C ,6411,0,0,Heerlen,Heerlen,Limburg,south,380
2,A'dam-Nieuwendijk,D ,1012,0,0,Amsterdam,Amsterdam,Noord-Holland,north,240
4,Nijmegen-Centrum,D ,6511,0,0,Nijmegen,Nijmegen,Gelderland,south,375
262,Breda-Noord,A ,4823,0,0,Breda,Breda,Noord-Brabant,south,350
18,Dordrecht-Centrum,C ,3311,0,0,Dordrecht,Dordrecht,Zuid-Holland,middle,356
87,Evenementen,B ,1033,0,0,Amsterdam,Amsterdam,Noord-Holland,north,240
53,Apeldoorn,C ,7311,0,0,Apeldoorn,Apeldoorn,Gelderland,middle,275
21,Arnhem-Centrum,D ,6811,0,0,Arnhem,Arnhem,Gelderland,south,275
32,Amstelveen,D ,1181,0,0,Amstelveen,Amstelveen,Noord-Holland,north,240
477,Maarssenbroek,B ,3605,0,0,Maarssen,Maarssen,Utrecht,middle,260
13,Utrecht-Centrum,D ,3511,0,0,Utrecht,Utrecht,Utrecht,middle,260
27,Leeuwarden,C ,8911,0,0,Leeuwarden,Leeuwarden,Friesland,north,270
14,Hilversum,C ,1211,0,0,Hilversum,Hilversum,Noord-Holland,north,260
48,Arnhem-Presikhaaf,B ,6826,0,0,Arnhem,Arnhem,Gelderland,south,275
135,Delfzijl,B ,9934,0,0,Delfzijl,Delfzijl,Groningen,north,280
41,Rijswijk,B ,2284,0,0,Rijswijk (ZH),Rijswijk,Zuid-Holland,middle,210
106,Spijkenisse,B ,3201,0,0,Spijkenisse,Spijkenisse,Zuid-Holland,middle,344
20,A'dam-Linnaeusstraat,B ,1093,0,0,Amsterdam,Amsterdam,Noord-Holland,north,240
